མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,
༄༅། །འབྲེལ་པ་བརྟག་པའི་འགྲེལ་པ།,884,2,1,《པེ་》《སྣར་》,འབྲེལ་པ་བརྟག་པའི་འགྲེལ་པ་བཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,བནྡྷ་པ་རི་ཀ་བྲིཏྟི།,《སྣར་》,བནྡྷ་པ་རི་ཀ་བྲྀཏྟ།,《ཅོ་》,པནྡྷ་པ་རིཀྵ་བྲྀཏྟ།,
,,4,3,《སྣར་》,སྨྲོས།,,,,,
,,5,4,《སྣར་》,mམེད།,,,,,
,,6,5,《པེ་》《སྣར་》,ན།,,,,,
,885,7,1,《པེ་》《སྣར་》,ལས།,,,,,
,,8,2,《པེ་》《སྣར་》,པོར།,,,,,
,,9,3,《པེ་》,རྟོགས།,,,,,
,,10,4,《པེ་》《སྣར་》,དག,,,,,
,,11,5,《པེ་》,བོས་འདྲེས་པ་འབྲེལ།,《སྣར་》,བོས་འདྲེལ་པ་བ་འབྲེལ་པ།,,,
,,12,6,《པེ་》《སྣར་》,ཏུ།,,,,,
,,13,7,《པེ་》《སྣར་》,mཔ།,,,,,
,,14,8,《ཅོ་》,པར།,,,,,
,,15,9,《པེ་》《སྣར་》,mཆད།,,,,,
,,16,10,《པེ་》,ཅན།,,,,,
,,17,11,《པེ་》,ཙམ།,,,,,
,,18,12,《པེ་》《སྣར་》,mལ།,,,,,
,,19,13,《ཅོ་》,པར།,,,,,
,886,20,1,《པེ་》《སྣར་》,བོར།,,,,,
,,21,2,《པེ་》《སྣར་》,mགི།,,,,,
,,22,3,《པེ་》《སྣར་》,ཅན་གཅིག་པུ་ཡིས།,,,,,
,,23,4,《པེ་》《སྣར་》,mདོན།,,,,,
,,24,5,《སྣར་》,བརྟགས་པ་ཁོ་ན།,,,,,
,,25,6,《པེ་》《སྣར་》,mའབྲེལ་པ་ལས།,,,,,
,,26,7,《པེ་》《སྣར་》,pདང་།,,,,,
,,27,8,《པེ་》《སྣར་》,mཡང་།,,,,,
,887,28,1,《པེ་》《སྣར་》,པའང་།,,,,,
,,29,2,《པེ་》《སྣར་》,pཔ།,,,,,
,,30,3,《པེ་》《སྣར་》,རྟོག,,,,,
,,31,4,《པེ་》《སྣར་》,བསལ།,,,,,
,,32,5,《པེ་》《སྣར་》,པོའི།,,,,,
,,33,6,《པེ་》,ཚིགས།,,,,,
,888,34,1,《པེ་》,པར།,,,,,
,,35,2,《པེ་》《སྣར་》,mའགྲུབ།།,,,,,
,,36,3,《ཅོ་》,བུས།,,,,,
,,37,4,《པེ་》《སྣར་》,pཡིན།,,,,,
,,38,5,《པེ་》《སྣར་》,mཏུ།,,,,,
,,39,6,《སྣར་》,རྟོགས།,,,,,
,,40,7,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,
,889,41,1,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,
,,42,2,《པེ་》《སྣར་》,པར།,,,,,
,,43,3,《པེ་》《སྣར་》,དོ།།,,,,,
,,44,4,《པེ་》,ནའོ་ཐོབ།,,,,,
,,45,5,《པེ་》《སྣར་》,རོ།,,,,,
,,46,6,《པེ་》,གྱིས།,,,,,
,,47,7,《པེ་》,གཞག,《སྣར་》,བཞག,,,
,,48,8,《པེ་》,ཀྱིས་དོན་པ་དང་མེད་པ།,《སྣར་》,ཀྱིས་དོན་མེད་པ།,,,
,890,49,1,《པེ་》《སྣར་》,དོ།,,,,,
,,50,2,《པེ་》《སྣར་》,འདི།,,,,,
,,51,3,《པེ་》《སྣར་》,pཡིན།,,,,,
,,52,4,《པེ་》《སྣར་》,ཏེ།,,,,,
,,53,5,《པེ་》《སྣར་》,mཞེས།,,,,,
,,54,6,《པེ་》,mཇི།,,,,,
,,55,7,《པེ་》《སྣར་》,བུ།,,,,,
,,56,8,《ཅོ་》,གྱུར།,,,,,
,,57,9,《སྣར་》,mདེ།,,,,,
,,58,10,《པེ་》,ལ་གཞན་དུ།,《སྣར་》,ལ་གཞན།,,,
,,59,11,《པེ་》《སྣར་》,pལ།,,,,,
,891,60,1,《པེ་》《སྣར་》,སྐྱེད་པ།,,,,,
,,61,2,《པེ་》,ལ།,,,,,
,,62,3,《པེ་》《སྣར་》,ཚིགས།,,,,,
,,63,4,《པེ་》《སྣར་》,mདང་།,,,,,
,,64,5,《པེ་》《སྣར་》,འདིའི།,,,,,
,,65,6,《པེ་》《སྣར་》,mཡོད་ན།,,,,,
,,66,7,《པེ་》《སྣར་》,mརྗེས་སུ།,,,,,
,892,67,1,《པེ་》,གཉིས་གཏོགས།,《སྣར་》,གཉི་གར་གཏོགས།,,,
,,68,2,《པེ་》《སྣར་》,mཡིན་ན།,,,,,
,,69,3,《པེ་》,རྟོགས།,,,,,
,,70,4,《པེ་》《སྣར་》,ཤིག,,,,,
,,71,5,《པེ་》《སྣར་》,mདོན།,,,,,
,,72,6,《པེ་》《སྣར་》,mདེ།,,,,,
,893,73,1,《པེ་》,པར།,,,,,
,,74,2,《པེ་》《སྣར་》,pམ།,,,,,
,,75,3,《པེ་》《སྣར་》,mབ།,,,,,
,,76,4,《པེ་》《སྣར་》,pཞེས།,,,,,
,,77,5,《པེ་》,mགང་།,,,,,
,,78,6,《པེ་》《སྣར་》,པ།,,,,,
,,79,7,《པེ་》《སྣར་》,mདེ།,,,,,
,894,80,1,《པེ་》《སྣར་》,mབུ།,,,,,
,,81,2,《པེ་》《སྣར་》,བཞི།,,,,,
,,82,3,《པེ་》《སྣར་》,mཕན།,,,,,
,,83,4,《པེ་》《སྣར་》,སྟེ།,,,,,
,,84,5,《པེ་》,དེ།,,,,,
,,85,6,《པེ་》《སྣར་》,དུ།,,,,,
,,86,7,《པེ་》《སྣར་》,དེ་ན་ཕན་པར།,,,,,
,,87,8,《པེ་》《སྣར་》,མེད།,,,,,
,,88,9,《པེ་》《སྣར་》,སྐྱེས།,,,,,
,,89,10,《པེ་》《སྣར་》,རོ།།,,,,,
,895,90,1,《པེ་》《སྣར་》,པར།,,,,,
,,91,2,《པེ་》《སྣར་》,mཕན་པ་བྱེད་པ་དང་།,,,,,
,,92,3,《པེ་》《སྣར་》,pམ།,,,,,
,,93,4,《པེ་》,བསྐྱེད་པ།,《སྣར་》,སྐྱེད་པ།,,,
,,94,5,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,95,6,《པེ་》《སྣར་》,གིས།,,,,,
,,96,7,《པེ་》《སྣར་》,པས།,,,,,
,,97,8,《པེ་》《སྣར་》,mབར།,,,,,
,,98,9,《པེ་》《སྣར་》,mཡང་།,,,,,
,,99,10,《པེ་》《སྣར་》,mབྱ་བ།,,,,,
,,100,11,《པེ་》《སྣར་》,mཡིན་པ་དེ་ལྡན་པའི་ངོ་བོ་ཡང་།,,,,,
,896,101,1,《པེ་》《སྣར་》,པས།,,,,,
,,102,2,《པེ་》《སྣར་》,མ།,,,,,
,,103,3,《པེ་》《སྣར་》,ཁྱོད་ཉིད།,,,,,
,,104,4,《པེ་》《སྣར་》,པོར།,,,,,
,,105,5,《པེ་》《སྣར་》,དེས།,,,,,
,,106,6,《སྣར་》,སྭོ།,,,,,
,,107,7,《པེ་》《སྣར་》,བྲལ་སྭོ་པས་ཤེས་བྱ་བྱ་ལ།,,,,,
,,108,8,《པེ་》,ཚོགས་སུ།,《སྣར་》,ཚིག་གིས།,,,
,,109,9,《པེ་》《སྣར་》,mཔ།,,,,,
,,110,10,《སྣར་》,mཟད།,,,,,
,,111,11,《པེ་》,གྱིས།,,,,,
,897,112,1,《པེ་》《སྣར་》,བཞིན།,,,,,
,,113,2,《པེ་》《སྣར་》,mའདི།,,,,,
,,114,3,《པེ་》《སྣར་》,བརྟན།,,,,,
,,115,4,《པེ་》《སྣར་》,mཆེན་པོ།,,,,,
