མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན་གྲངས།,,
,,467,10,《པེ་》《སྣར་》,mབ་འབྱུང་།,,
,,468,11,《པེ་》《སྣར་》,པ་ལས།,,
,,469,12,《པེ་》,ལྟའོ།,,
,173,470,1,《པེ་》《སྣར་》,བརྟག,,
,,471,2,《པེ་》《སྣར་》,ལོག་མ་ཡིན།,,
,,472,3,《པེ་》《སྣར་》,mཡུལ་ལ་དབང་བྱེད་པ་དང་།,,
,,473,4,《སྣར་》,mཔ།,,
,,474,5,《པེ་》《སྣར་》,སྤྱད།,,
,,475,6,《སྣར་》,པར།,,
,174,476,1,《པེ་》《སྣར་》,རྟེན་གྱི།,,
,,477,2,《སྣར་》,སྒྱུར།,,
,,478,3,《པེ་》《སྣར་》,mམངོན་པར།,,
,,479,4,《པེ་》《སྣར་》,mལ།,,
,,480,5,《པེ་》《སྣར་》,mལས་ཀྱི།,,
,,481,6,《པེ་》《སྣར་》,pཉིད།,,
,175,482,1,《པེ་》《སྣར་》,mའགྱུར་བའི།,,
,,483,2,《པེ་》《སྣར་》,སྔང་།,,
,,484,3,《པེ་》《སྣར་》,ཉིད།,,
,,485,4,《སྣར་》,pདུ།,,
,,486,5,《པེ་》《སྣར་》,mདེ།,,
,,487,6,《པེ་》《སྣར་》,pཡང་།,,
,176,488,1,《པེ་》《སྣར་》,ཀྱི།,,
,,489,2,《པེ་》《སྣར་》,mམ།,,
,,490,3,《པེ་》《སྣར་》,སྦྱོར་བར།,,
,,491,4,《པེ་》《སྣར་》,བརྟག,,
,,492,5,《སྣར་》,mཉིད།,,
,177,493,1,《པེ་》《སྣར་》,pཏུ།,,
,,494,2,《པེ་》《སྣར་》,pདང་།,,
,,495,3,《སྣར་》,ཀྱི།,,
,,496,4,《པེ་》《སྣར་》,ཀྱི།,,
,,497,5,《པེ་》《སྣར་》,པ།,,
,,498,6,《པེ་》《སྣར་》,རེར།,,
,177,499,1,《པེ་》《སྣར་》,ཞེ།,,
,,500,2,《པེ་》《སྣར་》,པ།,,
,,501,3,《པེ་》《སྣར་》,pམི།,,
,,502,4,《པེ་》《སྣར་》,བསྟན།,,
,,503,5,《པེ་》《སྣར་》,ཀྱིས།,,
,,504,6,《པེ་》《སྣར་》,བསྟན།,,
,,505,7,《པེ་》《སྣར་》,པའི།,,
,,506,8,《པེ་》《སྣར་》,སོང་བ།,,
,,507,9,《པེ་》《སྣར་》,mཀྱི།,,
,179,508,1,《པེ་》《སྣར་》,སོ།,,
,,509,2,《པེ་》《སྣར་》,དེ།,,
,,510,3,《སྣར་》,པར།,,
,,511,4,《སྣར་》,ཀྱིས།,,
,,512,5,《པེ་》《སྣར་》,mདེ།,,
,,513,6,《པེ་》《སྣར་》,mཀྱང་དེ་དག་ཉིད།,,
,,514,7,《པེ་》《སྣར་》,པོ།,,
,,515,8,《པེ་》《སྣར་》,ཀྱིས་་་བསྡུས་པས།,,
,,516,9,《པེ་》《སྣར་》,དེ་རྣམས།,,
,180,517,1,《པེ་》《སྣར་》,mདག,,
,,518,2,《པེ་》《སྣར་》,pཐམས་ཅད།,,
,,519,3,《པེ་》《སྣར་》,པས།,,
,,520,4,《སྣར་》,གིས།,,
,,521,5,《པེ་》《སྣར་》,mཀྱང་།,,
,,522,6,《པེ་》《སྣར་》,mདུ།,,
,,523,7,《པེ་》《སྣར་》,པའོ།,,
,,524,8,《པེ་》《སྣར་》,གིས།,,
,181,525,1,《སྣར་》,བུར།,,
,,526,2,《པེ་》《སྣར་》,mགཅིག་གི་ཕྱོགས་གཅིག་དང་།,,
,,527,3,《པེ་》《སྣར་》,པའོ།,,
,,528,4,《པེ་》《སྣར་》,mཆོས།,,
,,529,5,《པེ་》《སྣར་》,པར།,,
,,530,6,《པེ་》《སྣར་》,mདེ།,,
,,531,7,《པེ་》《སྣར་》,pདེ།,,
,,532,8,《པེ་》《སྣར་》,པར།,,
,182,533,1,《པེ་》《སྣར་》,པ།,,
,,534,2,《པེ་》《སྣར་》,pལ།,,
,,535,3,《པེ་》《སྣར་》,བསྡུས།,,
,,536,4,《པེ་》《སྣར་》,mཏུ།,,
,,537,5,《པེ་》《སྣར་》,པར།,,
,,538,6,《པེ་》《སྣར་》,པ་དང་།,,
,,539,7,《པེ་》《སྣར་》,སྒྲུབ།,,
,,540,8,《ཅོ་》,པར།,,
,,541,9,《པེ་》《སྣར་》,འགྱུར་བའོ།,,
,183,542,1,《པེ་》《སྣར་》,སྒྲུབ་པའི།,,
,,543,2,《པེ་》《སྣར་》,pཕན་ཚུན།,,
,,544,3,《པེ་》《སྣར་》,mལ།,,
,,545,4,《པེ་》《སྣར་》,པོ་དང་།,,
,,546,5,《པེ་》《སྣར་》,mནི།,,
,,547,6,《པེ་》《སྣར་》,གྱིས།,,
,,548,7,《པེ་》《སྣར་》,mཉོན་མོངས་པ་ཅན་ནི་ཡིད་དང་།,,
,,549,8,《པེ་》《སྣར་》,pརྣམས།,,
,,550,9,《པེ་》《སྣར་》,པའོ།,,
,,551,10,《པེ་》《སྣར་》,pདང་།,,
,,552,11,《པེ་》《སྣར་》,mཔར་ལྡན།,,
,,553,12,《པེ་》《སྣར་》,པའོ།,,
,,554,13,《པེ་》《སྣར་》,མཚུངས་པར།,,
,184,555,1,《པེ་》《སྣར་》,སོ།,,
,,556,2,《པེ་》《སྣར་》,སྐྱེའོ།,,
,,557,3,《པེ་》《སྣར་》,ལས།,,
,,558,4,《པེ་》《སྣར་》,ཐོབ།,,
,,559,5,《པེ་》《སྣར་》,པར།,,
,,560,6,《པེ་》《སྣར་》,ནས།,,
,,561,7,《སྣར་》,དེ།,,
,,562,8,《པེ་》《སྣར་》,སྤོང་།,,
,,563,9,《པེ་》《སྣར་》,བ།,,
,,564,10,《པེ་》《སྣར་》,སྐྱེ་བར།,,
,,565,11,《པེ་》《སྣར་》,ཐོབ།,,
,,566,12,《པེ་》《སྣར་》,དང་ནི།,,
,185,567,1,《པེ་》《སྣར་》,དང་།,,
,,568,2,《སྣར་》,པས།,,
,,569,3,《པེ་》《སྣར་》,ཐོབ།,,
,,570,4,《པེ་》《སྣར་》,ནི།,,
,,571,5,《པེ་》《སྣར་》,དང་ནི།,,
,,572,6,《པེ་》《སྣར་》,mརབ་ཏུ།,,
,,573,7,《པེ་》《སྣར་》,ཐོབ།,,
,,574,8,《པེ་》《སྣར་》,ནི།,,
,,575,9,《པེ་》《སྣར་》,གིས།,,
,,576,10,《པེ་》《སྣར་》,pམི།,,
,,577,11,《སྣར་》,པར།,,
,,578,12,《པེ་》《སྣར་》,pདེ་དག་ལས་གཞན།,,
,,579,13,《པེ་》《སྣར་》,mདེ་དག་ལས་ཀྱང་།,,
,,580,14,《སྣར་》,pམ།,,
,,581,15,《སྣར་》,ན།,,
,186,582,1,《པེ་》《སྣར་》,ཀྱིས།,,
,,583,2,《པེ་》《སྣར་》,རྒྱུད།,,
,,584,3,《སྣར་》,པར།,,
,,585,4,《པེ་》《སྣར་》,mབ།,,
,,586,5,《སྣར་》,mཔ།,,
,,587,6,《པེ་》《སྣར་》,mརྣམས།,,
,,588,7,《པེ་》《སྣར་》,mརྣམས།,,
,187,589,1,《པེ་》《སྣར་》,འདུན།,,
,,590,2,《པེ་》《སྣར་》,mགྱ་ནོམ་སྣང་དང་།,,
,,591,3,《པེ་》《སྣར་》,pབ།,,
,,592,4,《པེ་》《སྣར་》,pགྱ་ནོམ་སྣང་བ་དང་།,,
,,593,5,《པེ་》《སྣར་》,སེམས་ཅན་རྣམས་སུ་སེམས་ཅན་སྐྱེའོ།།,,
,,594,6,《པེ་》《སྣར་》,རྟེན།,,
,,595,7,《པེ་》《སྣར་》,pབཞི།,,
,,596,8,《པེ་》《སྣར་》,འཁོར།,,
,,597,9,《པེ་》《སྣར་》,རྣམས་ཀྱི།,,
,,598,10,《པེ་》《སྣར་》,mཔ།,,
,,599,11,《པེ་》《སྣར་》,mདང་།,,
,,600,12,《པེ་》《སྣར་》,mདེ་དག ,,
,188,601,1,《པེ་》《སྣར་》,ཀྱི།,,
,,602,2,《པེ་》《སྣར་》,ལྷོའི་ཛམྦུའི།,,
,,603,3,《པེ་》《སྣར་》,pཔ།,,
,,604,4,《པེ་》《སྣར་》,པར།,,
,,605,5,《པེ་》《སྣར་》,འཆགས།,,
,,606,6,《པེ་》《སྣར་》,དུ་ཡང་།,,
,189,607,1,《པེ་》《སྣར་》,ཏེ།,,
,,608,2,《པེ་》《སྣར་》,mསྤྱོད།,,
,,609,3,《པེ་》《སྣར་》,པའི།,,
,,610,4,《པེ་》《སྣར་》,དོག,,
,190,611,1,《པེ་》《སྣར་》,mནི།,,
,,612,2,《པེ་》《སྣར་》,དོག,,
,,613,3,《པེ་》《སྣར་》,pདེ།,,
,,614,4,《པེ་》《སྣར་》,mརྣམ་པ།,,
,,615,5,《པེ་》《སྣར་》,སོ།,,
,,616,6,《པེ་》《སྣར་》,pཞེས།,,
,,617,7,《པེ་》,གྱུར་པའི།,,
,,618,8,《པེ་》《སྣར་》,mཉིད།,,
,,619,9,《པེ་》《སྣར་》,mཡིན།,,
,,620,10,《པེ་》《སྣར་》,pགང་།,,
,,621,11,《པེ་》《སྣར་》,mགྱི་བདེན་པའི།,,
,,622,12,《པེ་》《སྣར་》,པའི།,,
,191,623,1,《སྣར་》,འགྱུར།,,
,,624,2,《པེ་》《སྣར་》,འབྱུང་།,,
,,625,3,《པེ་》《སྣར་》,མའི།,,
,,626,4,《པེ་》《སྣར་》,མ་ལས་ཕན་ཆད་ནི།,,
,,627,5,《པེ་》《སྣར་》,སྲོགས།,,
,,628,6,《པེ་》《སྣར་》,འགྱུར།,,
,,629,7,《པེ་》《སྣར་》,pནི།,,
,192,630,1,《པེ་》《སྣར་》,pནི།,,
,,631,2,《པེ་》《སྣར་》,བཟུང་།,,
,,632,3,《པེ་》《སྣར་》,mམ།,,
,,633,4,《པེ་》《སྣར་》,pམ།,,
,,634,5,《པེ་》《སྣར་》,པའོ།,,
,,635,6,《པེ་》《སྣར་》,གྱི།,,
,,636,7,《པེ་》《སྣར་》,གི།,,
,,637,8,《པེ་》《སྣར་》,བའི།,,
,193,638,1,《པེ་》《སྣར་》,ལྷའི་ཚེ།,,
,,639,2,《པེ་》《སྣར་》,པ།,,
,,640,3,《པེ་》《སྣར་》,ལྟ་སྟེ།,,
,,641,4,《པེ་》《སྣར་》,མྱངས་པས།,,
,,642,5,《པེ་》《སྣར་》,པ།,,
,,643,6,《པེ་》《སྣར་》,བྱའོ།,,
,,644,7,《སྣར་》,རྟོག,,
,,645,8,《པེ་》《སྣར་》,དུ།,,
,,646,9,《པེ་》《སྣར་》,pབ།,,
,,647,10,《པེ་》《སྣར་》,ཉིད།,,
,194,648,1,《པེ་》《སྣར་》,པ།,,
,,649,2,《པེ་》《སྣར་》,ལ།,,
,,650,3,《པེ་》《སྣར་》,mཔ།,,
,,651,4,《པེ་》,mདེ།,,
,,652,5,《པེ་》《སྣར་》,ལ།,,
,,653,6,《པེ་》《སྣར་》,ཀྱི།,,
,,654,7,《སྣར་》,བཟུང་།,,
,,655,8,《པེ་》《སྣར་》,བར་བལྟའོ།,,
,,656,9,《པེ་》《སྣར་》,བཟུང་།,,
,,657,10,《པེ་》《སྣར་》,བརྟགས།,,
,,658,11,《པེ་》《སྣར་》,པའོ།,,
,195,659,1,《པེ་》《སྣར་》,དེ།,,
,,660,2,《པེ་》《སྣར་》,mགི,,
,,661,3,《པེ་》《སྣར་》,པའོ།,,
,,662,4,《པེ་》《སྣར་》,པའོ།,,
,,663,5,《པེ་》《སྣར་》,པ།,,
,,664,6,《པེ་》《སྣར་》,བ་རྣམས།,,
,,665,7,《པེ་》《སྣར་》,mནི།,,
,,666,8,《པེ་》《སྣར་》,pབ།,,
,,667,9,《པེ་》《སྣར་》,པར།,,
,,668,10,《པེ་》《སྣར་》,pགང་།,,
,,669,11,《པེ་》《སྣར་》,མར།,,
,,670,12,《པེ་》《སྣར་》,གྱུར།,,
,,671,13,《པེ་》《སྣར་》,ཞིག,,
,,672,14,《པེ་》《སྣར་》,མ།,,
,,673,15,《པེ་》《སྣར་》,དག,,
,,674,16,《པེ་》《སྣར་》,mགང་།,,
,,675,17,《སྣར་》,pཡང་།,,
,,676,18,《པེ་》《སྣར་》,pགསུམ་ལས་གྱུར་པ་ཡང་ཡོད་པས་ན།,,
,,677,19,《པེ་》《སྣར་》,mཡང་།,,
,196,678,1,《པེ་》《སྣར་》,mལ།,,
,,679,2,《པེ་》《སྣར་》,pཔ།,,
,,680,3,《པེ་》《སྣར་》,mཡོངས་སུ།,,
,,681,4,《ཅོ་》,ཡོད།,,
,,682,5,《པེ་》,བསླབས།,,
,,683,6,《པེ་》,བསླབས།,,
,,684,7,《པེ་》《སྣར་》,mམ།,,
,,685,8,《པེ་》,བསླབས་པ་ཡང་།,《སྣར་》,བསྲབས་པ་ཡང་།
,,686,9,《པེ་》,སླབ།,《སྣར་》,སྲབ།
,,687,10,《པེ་》《སྣར་》,སྲབ།,,
,,688,11,《པེ་》《སྣར་》,mཆེས།,,
,,689,12,《པེ་》《སྣར་》,སྲབ།,,
,,690,13,《པེ་》《སྣར་》,pཔ།,,
,,691,14,《པེ་》《སྣར་》,པོ།,,
,,692,15,《པེ་》《སྣར་》,བསླབས།,,
,,693,16,《པེ་》,བསྲགས།,,
,,694,17,《པེ་》《སྣར་》,གསགས།,,
,,695,18,《པེ་》《སྣར་》,pཔར་གྱུར།,,
,,696,19,《པེ་》《སྣར་》,སྤང་བ།,,
,,697,20,《པེ་》《སྣར་》,སྲབ།,,
,,698,21,《པེ་》《སྣར་》,པའི།,,
,,699,22,《པེ་》《སྣར་》,བསྲབ།,,
,,700,23,《པེ་》《སྣར་》,བསྲབ།,,
,,701,24,《པེ་》《སྣར་》,གྱིས།,,
,197,702,1,《པེ་》《སྣར་》,བའི།,,
,,703,2,《པེ་》《སྣར་》,pསེམས་ཀྱི་རྒྱུ་མ་གསལ་བ་ན།,,
,,704,3,《པེ་》《སྣར་》,སྐྱེད།,,
,,705,4,《པེ་》《སྣར་》,mཀྱི་རྒྱུ་བ།,,
,,706,5,《པེ་》,སྐྱེད།,,
,,707,6,《པེ་》《སྣར་》,pཀྱི།,,
,,708,7,《པེ་》《སྣར་》,mདེ།,,
,,709,8,《པེ་》《སྣར་》,pརོ།,,
,,710,9,《པེ་》《སྣར་》,pཐོག་མ་ཉིད།,,
,,711,10,《པེ་》《སྣར་》,གྲུབ།,,
,,712,11,《པེ་》《སྣར་》,པོ་དང་།,《ཅོ་》,པོའམ།
,,713,12,《པེ་》《སྣར་》,mམུན་པ།,,
,,714,13,《པེ་》《སྣར་》,མོ།,,
,,715,14,《པེ་》《སྣར་》,པའི།,,
,,716,15,《པེ་》《སྣར་》,mནས་ནི།,,
,,717,16,《པེ་》《སྣར་》,mའཕོ།,,
,,718,17,《པེ་》《སྣར་》,pཡང་།,,
,,719,18,《པེ་》《སྣར་》,བའོ།,,
,,720,19,《པེ་》《སྣར་》,ཅི།,,
,,721,20,《པེ་》《སྣར་》,ལ་སོགས་པའོ།,,
,198,722,1,《པེ་》《སྣར་》,ཐག,,
,,723,2,《པེ་》《སྣར་》,mདུ།,,
,,724,3,《པེ་》《སྣར་》,པར།,,
,,725,4,《པེ་》《སྣར་》,ན།,,
,,726,5,《པེ་》《སྣར་》,སྐྱེད།,,
,,727,6,《པེ་》《སྣར་》,pདུ།,,
,,728,7,《པེ་》《སྣར་》,གི།,,
,,729,8,《པེ་》《སྣར་》,འབྱུང་།,,
,,730,9,《པེ་》《སྣར་》,གི།,,
,,731,10,《པེ་》《སྣར་》,རྣམས།,,
,,732,11,《པེ་》《སྣར་》,ལྡོག,,
,199,733,1,《པེ་》《སྣར་》,རིགས།,,
,,734,6,《པེ་》《སྣར་》,འབྱུང་།,,
,,735,7,《པེ་》《སྣར་》,གནས་པར།,,
,,736,8,《པེ་》《སྣར་》,པའི།,,
,,737,9,《ཅོ་》,པར།,,
,,738,10,《པེ་》《སྣར་》,མའི།,,
,,739,11,《པེ་》《སྣར་》,བལྟའོ།,,
,,740,12,《པེ་》《སྣར་》,བལྟའོ།,,
,200,741,1,《པེ་》《སྣར་》,mདང་།,,
,,742,2,《པེ་》《སྣར་》《ཅོ་》,pདང་།,,
,,743,3,《པེ་》《སྣར་》,mབ།,,
,,744,4,《པེ་》《སྣར་》,པའི།,,
,,745,5,《པེ་》《སྣར་》,mཅན།,,
,,746,6,《པེ་》《སྣར་》,pབ།,,
,,747,7,《པེ་》,བཀྲིས།,,
,,748,8,《པེ་》《སྣར་》,སྤྱད།,,
,,749,9,《པེ་》《སྣར་》,འཕོངས།,,
,,750,10,《པེ་》《སྣར་》,pཀུན་ཏུ།,,
,,751,11,《སྣར་》,སྦྱར།,,
,,752,12,《པེ་》《སྣར་》,རིགས།,,
,201,753,1,《སྣར་》,སྦྱར།,,
,,754,2,《པེ་》《སྣར་》,mཔ།,,
,,755,3,《པེ་》《སྣར་》,བྱུང་།,,
,,756,4,《པེ་》《སྣར་》,དེ།,,
,,757,5,《པེ་》《སྣར་》,པའི།,,
,,758,6,《པེ་》《སྣར་》,ཅན་གྱི།,,
,,759,7,《པེ་》《སྣར་》,mན།,,
,,760,8,《པེ་》《སྣར་》,གྱིས།,,
,,761,9,《སྣར་》,པར།,,
,,762,10,《པེ་》《སྣར་》,བ།,,
,,763,11,《པེ་》《སྣར་》,ཚུངས།,,
,,764,12,《པེ་》《སྣར་》,mདུ།,,
,,765,13,《པེ་》《སྣར་》,mབདག,,
,,766,14,《པེ་》《སྣར་》,mབ།,,
,,767,15,《པེ་》《སྣར་》,mཆེས།,,
,,768,16,《པེ་》《སྣར་》,mཔོ།,,
,202,769,1,《པེ་》《སྣར་》,ང་རྒྱལ།,,
,,770,2,《པེ་》《སྣར་》,ཅིག,,
,,771,3,《པེ་》《སྣར་》,བའི།,,
,,772,4,《པེ་》《སྣར་》,pཏུ།,,
,,773,5,《པེ་》《སྣར་》,mལ།,,
,,774,6,《པེ་》《སྣར་》,ལྟའོ།,,
,,775,7,《པེ་》《སྣར་》,པ།,,
,,776,8,《པེ་》《སྣར་》,པས་ངེས།,,
,,777,9,《སྣར་》,སྦྱར།,,
,203,778,1,《པེ་》《སྣར་》,བ་ཐམས་ཅད།,,
,,779,2,《སྣར་》,ཉིད་ཟའོ།,,
,,780,3,《པེ་》《སྣར་》,སྒྲུབ།,,
,,781,4,《པེ་》《སྣར་》,སྒྲུབ།,,
,,782,5,《པེ་》《སྣར་》,འཁྲུགས།,,
,,783,6,《པེ་》《སྣར་》,mཔར་བྱེད།,,
,,784,7,《པེ་》《སྣར་》,pཔར་བྱེད།,,
,204,785,1,《སྣར་》,བས།,,
,,786,2,《པེ་》《སྣར་》,pབ།,,
,205,787,1,《སྣར་》,pམ།,,
,,788,2,《པེ་》《སྣར་》,mཉེ་བའི།,,
,,789,3,《པེ་》《སྣར་》,གི།,,
,,790,4,《པེ་》《སྣར་》,pརྒྱུ་མཚན་སྒོམ་པ་དང་།,,
,,791,5,《སྣར་》,རྣམས།,,
,,792,6,《པེ་》《སྣར་》,pདགེ་བའི།,,
,,793,7,《པེ་》《སྣར་》,བཀྲིས་པར།,,
,206,794,1,《པེ་》《སྣར་》,འཁྱེར།,,
,,795,2,《པེ་》《སྣར་》,pན།,,
,,796,3,《པེ་》《སྣར་》,པ།,,
,,797,4,《པེ་》《སྣར་》,པ།,,
,,798,5,《པེ་》《སྣར་》,mཀྱི།,,
,,799,6,《པེ་》《སྣར་》,དེ།,,
,,800,7,《པེ་》《སྣར་》,པའི།,,
,,801,8,《པེ་》《སྣར་》,སོར།,,
,207,802,1,《པེ་》《སྣར་》,ཏེ།,,
,,803,2,《སྣར་》,pཔ།,,
,,804,3,《པེ་》《སྣར་》,པ།,,
,,805,4,《པེ་》《སྣར་》,སྒྲུབ།,,
,,806,5,《སྣར་》,རྒྱུད།,,
,,807,6,《པེ་》《སྣར་》,འབྱུང་།,,
,,808,7,《པེ་》《སྣར་》,སྒྲུབ།,,
,,809,8,《པེ་》《སྣར་》,pགི་ཐ་བ།,,
,208,810,1,《སྣར་》,ཐར།,,
,,811,2,《པེ་》《སྣར་》,བས།,,
,,812,3,《པེ་》《སྣར་》,ཀྱི།,,
,,813,4,《པེ་》《སྣར་》,pགི་ཟུག་རྔུ།,,
,,814,5,《པེ་》《སྣར་》,ལྕི།,,
,,815,6,《པེ་》《སྣར་》,ལྕི།,,
,,816,7,《པེ་》《སྣར་》,ལྕི།,,
,,817,8,《པེ་》《སྣར་》,mཔ།,,
,209,818,1,《པེ་》《སྣར་》,ལྕི།,,
,,819,2,《པེ་》《སྣར་》,ཆགས་པ།,,
,,820,3,《པེ་》,mདང་།,,
,,821,4,《པེ་》《སྣར་》,བཏགས།,,
,,822,5,《པེ་》《སྣར་》,བཏགས།,,
,,823,6,《པེ་》《སྣར་》,གང་གིས།,,
,210,824,1,《པེ་》《སྣར་》,pབ།,,
,,825,2,《སྣར་》,ཀྱིས།,,
,,826,3,《པེ་》《སྣར་》,འབྲུ།,,
,,827,4,《པེ་》《སྣར་》,mགདུང་བ་ཆེན་པོས་ཡོངས་སུ།,,
,,828,5,《སྣར་》,རིམ།,,
,,829,6,《སྣར་》,pབ།,,
,,830,7,《པེ་》《སྣར་》,mཅན།,,
,,831,8,《པེ་》,འཆགས།,,
,211,832,1,《པེ་》《སྣར་》,mལ།,,
,,833,2,《པེ་》《སྣར་》,པ་གང་།,,
,,834,3,《པེ་》《སྣར་》,mལ།,,
,,835,4,《སྣར་》,mལ།,,
,,836,5,《པེ་》《སྣར་》,mལ།,,
,,837,6,《པེ་》《སྣར་》,ན།,,
,212,838,1,《པེ་》《སྣར་》,ལ།,,
,,839,2,《པེ་》《སྣར་》,ཉིད།,,
,,840,3,《སྣར་》,pཔ།,,
,,841,4,《པེ་》《སྣར་》,mནི།,,
,,842,5,《པེ་》《སྣར་》,mདེ།,,
,,843,6,《པེ་》《སྣར་》,mཔར་ལྟ།,,
,,844,7,《པེ་》《སྣར་》,mདེ་དང་།,,
,,845,8,《པེ་》《སྣར་》,pནི།,,
,213,846,1,《པེ་》《སྣར་》,pལ།,,
,,847,2,《པེ་》《སྣར་》,mམཚུངས་པར།,,
,,848,3,4《སྣར་》,mཡང་།,,
,,849,4,《པེ་》《སྣར་》,པོའི།,,
,,850,5,《པེ་》《སྣར་》,གང་།,,
,,851,6,《སྣར་》,སྤངས་པར།,,
,,852,7,《པེ་》,mབྱ་བའོ།,《སྣར་》,བྱའོ།
,,853,8,《པེ་》《སྣར་》,mརྣམས།,,
,214,854,1,《པེ་》《སྣར་》,pནི།,,
,,855,2,《པེ་》《སྣར་》,པ།,,
,,856,3,《པེ་》《སྣར་》,ནོ།,,
,,857,4,《པེ་》《སྣར་》,བ་གང་།,,
,,858,5,《པེ་》《སྣར་》,བྱུང་།,,
,,859,6,《པེ་》《སྣར་》,mཔའི་རྣམ།,,
,,860,7,《པེ་》《སྣར་》,ཡིན།,,
,215,861,1,《པེ་》《སྣར་》,འགོག་ཏེ།,,
,,862,2,《པེ་》《སྣར་》,བསམ།,,
,,863,3,《པེ་》《སྣར་》,ཀྱིས།,,
,,864,4,《པེ་》《སྣར་》,སྒྱུར།,,
,,865,5,《པེ་》《སྣར་》,pནི།,,
,,866,6,《པེ་》,བསམ།,,
,,867,7,《པེ་》《སྣར་》,pམི།,,
,,868,8,《པེ་》《སྣར་》,mམི།,,
,,869,9,《པེ་》《སྣར་》,པས།,,
,,870,10,《པེ་》《སྣར་》,རྫུན།,,
,,871,11,《པེ་》《སྣར་》,ངག,,
,,872,12,《པེ་》《སྣར་》,མོ།,,
,,873,13,《པེ་》《སྣར་》,བྱུང་བ་དེ།,,
,216,874,1,《པེ་》《སྣར་》,གཅོད།,,
,,875,2,《པེ་》《སྣར་》,ལོ།,,
,,876,3,《པེ་》《སྣར་》,དེ།,,
,,877,4,《པེ་》《སྣར་》,པའི།,,
,,878,5,《པེ་》《སྣར་》,དབང་གིས།,,
,,879,6,《པེ་》《སྣར་》,བཟུང་།,,
,,880,7,《པེ་》《སྣར་》,དབང་གི།,,
,,881,8,《པེ་》《སྣར་》,པར།,,
,,882,9,《པེ་》《སྣར་》,ཀྱི།,,
,,883,10,《པེ་》《སྣར་》,བའི།,,
,,884,11,《པེ་》《སྣར་》,ན།,,
,217,885,1,《པེ་》《སྣར་》,mཔར་བྱེད།,,
,,886,2,《ཅོ་》,ལུས།,,
,,887,3,《པེ་》《སྣར་》,mཔར་བྱེད།,,
,,888,4,《པེ་》《སྣར་》,mདོ།,,
,,889,5,《པེ་》《སྣར་》,mགང་།,,
,,890,6,《པེ་》《སྣར་》,mརྣམ་པར།,,
,,891,7,《པེ་》《སྣར་》,pདེ།,,
,,892,8,《པེ་》《སྣར་》,གྱི།,,
,,893,9,《པེ་》《སྣར་》,འབྱུང་།,,
,,894,10,《པེ་》《སྣར་》,པ།,,
,,895,11,《པེ་》《སྣར་》,སྦྱར།,,
,,896,12,《པེ་》《སྣར་》,pནི།,,
,218,897,1,《པེ་》《སྣར་》,ནི་ཆགས་པ།,,
,,898,2,《པེ་》《སྣར་》,mལ།,,
,,899,3,《པེ་》《སྣར་》,པས།,,
,,900,4,《པེ་》,གི།,,
,,901,5,《པེ་》《སྣར་》,mལ།,,
,,902,6,《པེ་》《སྣར་》,mལ།,,
,,903,7,《པེ་》《སྣར་》,mཀྱི།,,
,,904,8,《པེ་》《སྣར་》,པའི།,,
,,905,9,《པེ་》《སྣར་》,གྱིས།,,
,,906,10,《པེ་》《སྣར་》,mགང་།,,
,,907,11,《པེ་》《སྣར་》,ཉེས་པར།,,
,,908,12,《པེ་》《སྣར་》,ཐུན་མོང་།,,
,,909,13,《པེ་》《སྣར་》,ལ།,,
,219,910,1,《པེ་》《སྣར་》,པས།,,
,,911,2,《པེ་》《སྣར་》,པ།,,
,,912,3,《པེ་》《སྣར་》,mདེ།,,
,,913,4,《པེ་》《སྣར་》,mདེ་དག,,
,,914,5,《པེ་》《སྣར་》,བྱེད་དོ།,,
,,915,6,《པེ་》,mརོ།,,
,,916,7,《པེ་》《སྣར་》,གིས།,,
,,917,8,《པེ་》《སྣར་》,mདེ།,,
,,918,9,《པེ་》《སྣར་》,གྱི།,,
,,919,10,《པེ་》《སྣར་》,པའོ།,,
,,920,11,《པེ་》《སྣར་》,mཇི་ལྟ།,,
,,921,12,《པེ་》《སྣར་》,pའགྱུར་བ་ཇི་ལྟར་མྱོང་བར།,,
,220,922,1,《པེ་》《སྣར་》,mདེ་ལྟ།,,
,,923,2,《པེ་》《སྣར་》,pམྱོང་པར་འགྱུར་བའི།,,
,,924,3,《པེ་》《སྣར་》,པར།,,
,,925,4,《པེ་》《སྣར་》,དེའི།,,
,,926,5,《པེ་》《སྣར་》,mནི།,,
,221,927,1,《པེ་》《སྣར་》,སོ།,,
,,928,2,《པེ་》《སྣར་》,སོ།,,
,,929,3,《པེ་》《སྣར་》,ཀྱི།,,
,,930,4,《ཅོ་》,པའི།,,
,,931,5,《པེ་》《སྣར་》,ནི།,,
,,932,6,《པེ་》《སྣར་》,གཞི།,,
,,933,7,《པེ་》《སྣར་》,བྱ་སྟེ།,,
,,934,8,《པེ་》《སྣར་》,pབ།,,
,222,935,1,《པེ་》《སྣར་》,pབ་དག་གི,,
,,936,2,《པེ་》《སྣར་》,བ།,,
,,937,3,《པེ་》《སྣར་》,mཡིད་ལ་བྱེད་པས།,,
,,938,4,《པེ་》《སྣར་》,བཤན།,,
,,939,5,《པེ་》《སྣར་》,བསོད།,,
,,940,6,《པེ་》《སྣར་》,སྔོན།,,
