ཤོག་གྲངས་288པར་ཡོད་པའི་མཆན་2པ།,༼སྡེ་༽ ༄༅།_།རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།,པོ་ཆེའི་ཕྲེང་བ།,༄༅།_།རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།
༼ཅོ་༽ ༡པ།,༼པེ་༽ ༄༅།_།རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།%,༼སྣར་༽ ༄༅།_།རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་སློབ་དཔོན་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།%,
,,,
མཆན་3པ།,༼སྡེ་༽ གར་སྐད་དུ།_རཱ་ཛ་པ་རི་ཀ་ཐཱ་རཏྣ་མཱ་ལཱི,རཏྣ་མཱ་ལཱི,༄༅༅།_།རྒྱ་གར་སྐད་དུ།_རཱ་ཛ་པ་རི་ཀ་ཐཱ་རཏྣ་མཱ་ལཱི
༼ཅོ་༽ ༡པ།,༼པེ་༽ གར་སྐད་དུ།_རཱ་ཛ་པ་རི་ཀ་ཐཱ་རདྣ་མཱ་ལི,༼སྣར་༽ གར་སྐད་དུ།_རཱ་ཛ་པ་རི་ཀ་ཐཱ་རདྣ་མཱ་ལི,
,,,
མཆན་4པ།,༼སྡེ་༽ ཕྱག་འཚལ།_།རྒྱལ་པོ་ཁྱོད་ལ་ཆོས་སྒྲུབ་,སྒྲུབ་,།_བོད་སྐད་དུ།_རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།_སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།_།ཉེས་པ་ཀུན་ལས་རྣམ་གྲོལ་ཞིང་།_།ཡོན་ཏན་ཀུན་གྱིས་བརྒྱན་པ་པོ།_།སེམས་ཅན་ཀུན་གྱི་གཉེན་གཅིག་པོ།_།ཐམས་ཅད་མཁྱེན་ལ་བདག་ཕྱག་འཚལ།_།རྒྱལ་པོ་ཁྱོད་ལ་ཆོས་སྒྲུབ་
༼ཅོ་༽ ༡པ།,༼པེ་༽ ལ་བདག་ཕྱག་འཚལ།_།རྒྱལ་པོ་ཁྱོད་ལ་ཆོས་བསྒྲུབ་,༼སྣར་༽ ལ་བདག་ཕྱག་འཚལ།_།རྒྱལ་པོ་ཁྱོད་ལ་ཆོས་བསྒྲུབ་,
,,,
མཆན་5པ།,༼སྡེ་༽ ཕྱིར།_།གཅིག་ཏུ་དགེ་བའི་ཆོས་,ཆོས་,ཕྱིར།_།གཅིག་ཏུ་དགེ་བའི་ཆོས་
